population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,17,60-64 years,493,Ischemic heart disease,3,Rate,2023,4784.479424103572,5203.8382520742925,4315.133267763157
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,17,60-64 years,493,Ischemic heart disease,3,Rate,2023,9586.10109233407,10181.564445730446,9038.840545641011
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,1,Male,18,65-69 years,493,Ischemic heart disease,3,Rate,2023,19668.419893915372,20801.743562431733,18435.193363792212
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,18,65-69 years,493,Ischemic heart disease,3,Rate,2023,7103.261918016264,7648.495550857847,6539.743445245347
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,18,65-69 years,493,Ischemic heart disease,3,Rate,2023,12528.20196099351,13177.862111835182,11896.788572662015
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,1,Male,19,70-74 years,493,Ischemic heart disease,3,Rate,2023,22997.96813129353,24762.989865377414,21505.056493249896
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,19,70-74 years,493,Ischemic heart disease,3,Rate,2023,10399.853680363947,11299.99370211979,9623.844084319526
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,19,70-74 years,493,Ischemic heart disease,3,Rate,2023,15476.662139852071,16351.578283314511,14607.916419871543
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,1,Male,20,75-79 years,493,Ischemic heart disease,3,Rate,2023,28398.407533886948,30078.60394745577,26446.556992679638
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,20,75-79 years,493,Ischemic heart disease,3,Rate,2023,17215.55684283796,18489.35444030598,15914.15017736434
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,20,75-79 years,493,Ischemic heart disease,3,Rate,2023,21382.38732196788,22475.176666328905,19934.377356539342
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,1,Male,28,<1 year,493,Ischemic heart disease,3,Rate,2023,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,28,<1 year,493,Ischemic heart disease,3,Rate,2023,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,28,<1 year,493,Ischemic heart disease,3,Rate,2023,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,1,Male,30,80-84 years,493,Ischemic heart disease,3,Rate,2023,39348.22997269363,41842.305815076536,36664.657205453346
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,30,80-84 years,493,Ischemic heart disease,3,Rate,2023,28026.41348317553,30233.30178189468,24928.700814746335
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,30,80-84 years,493,Ischemic heart disease,3,Rate,2023,31715.70788903082,33717.59646139593,29058.492760512792
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,1,Male,31,85-89 years,493,Ischemic heart disease,3,Rate,2023,59460.22140832765,64114.96869516273,53778.25032728367
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,31,85-89 years,493,Ischemic heart disease,3,Rate,2023,47411.21860138024,51523.583061389734,40487.420956933216
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,31,85-89 years,493,Ischemic heart disease,3,Rate,2023,50753.91766331289,53931.28155541804,44174.130563717925
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,1,Male,32,90-94 years,493,Ischemic heart disease,3,Rate,2023,77146.97199578719,84428.76609828873,65311.90210719114
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,32,90-94 years,493,Ischemic heart disease,3,Rate,2023,73327.1203423329,81323.81513119813,60377.22469232807
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,32,90-94 years,493,Ischemic heart disease,3,Rate,2023,74305.670897705,81354.75427234713,62143.91801201915
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,1,Male,34,2-4 years,493,Ischemic heart disease,3,Rate,2023,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,34,2-4 years,493,Ischemic heart disease,3,Rate,2023,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,34,2-4 years,493,Ischemic heart disease,3,Rate,2023,0.0,0.0,0.0
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,1,Male,235,95+ years,493,Ischemic heart disease,3,Rate,2023,86502.23663716839,101362.20948872772,69582.14086628266
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,235,95+ years,493,Ischemic heart disease,3,Rate,2023,96681.76678354738,109692.40832528085,76280.08625657666
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,235,95+ years,493,Ischemic heart disease,3,Rate,2023,93990.60530893637,105248.0752665699,75225.68404181713
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,1,Male,6,5-9 years,494,Stroke,3,Rate,2023,16.705728267370024,20.90640783532817,12.626526961485975
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,6,5-9 years,494,Stroke,3,Rate,2023,21.10425372659329,27.157218701820558,15.612030433299568
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,6,5-9 years,494,Stroke,3,Rate,2023,18.84559088315398,23.67206709131127,14.149889610204688
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,1,Male,7,10-14 years,494,Stroke,3,Rate,2023,24.616790482508712,31.44061369815752,18.55684547807769
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,7,10-14 years,494,Stroke,3,Rate,2023,33.27406470916722,44.541488449517004,23.49940300151336
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,7,10-14 years,494,Stroke,3,Rate,2023,28.82968321972204,36.94801888513964,21.51802939434322
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,1,Male,8,15-19 years,494,Stroke,3,Rate,2023,51.74781240512548,64.9040595664137,39.828622950384904
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,8,15-19 years,494,Stroke,3,Rate,2023,48.505449264354304,62.79686107224574,36.01169309488104
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,8,15-19 years,494,Stroke,3,Rate,2023,50.17017947100715,63.30907557319433,39.36319849366732
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,1,Male,9,20-24 years,494,Stroke,3,Rate,2023,76.32572485435573,95.08553926721372,60.63944562534193
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,9,20-24 years,494,Stroke,3,Rate,2023,70.57183574698108,92.54889584727422,50.38633289089662
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,9,20-24 years,494,Stroke,3,Rate,2023,73.53321785629811,91.27431804329402,58.263513444248225
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,1,Male,10,25-29 years,494,Stroke,3,Rate,2023,116.63829629255768,144.47572512968102,92.87879185811511
1,All Population,2,DALYs (Disability-Adjusted Life Years),48,Hungary,2,Female,10,25-29 years,494,Stroke,3,Rate,2023,104.69467390196705,139.28146827876864,77.41804384811829
